iter	Passed	Remaining
0	69	278101
1	79	159546
2	90	120577
3	97	97751
4	109	87402
5	118	78889
6	124	71222
7	128	64324
8	134	59757
9	145	57879
10	154	56034
11	164	54522
12	171	52698
13	177	50652
14	187	49742
15	196	48996
16	205	48240
17	214	47536
18	223	46898
19	233	46417
20	243	46189
21	252	45694
22	262	45326
23	266	44185
24	275	43870
25	283	43331
26	291	42868
27	299	42471
28	303	41561
29	311	41212
30	320	41063
31	329	40838
32	336	40493
33	346	40389
34	355	40254
35	363	39990
36	370	39727
37	378	39448
38	386	39242
39	394	39009
40	403	38960
41	412	38877
42	421	38772
43	428	38510
44	438	38518
45	455	39183
46	461	38775
47	471	38790
48	480	38772
49	485	38361
50	494	38327
51	503	38222
52	514	38324
53	523	38258
54	534	38311
55	544	38364
56	553	38300
57	561	38139
58	569	38017
59	577	37915
60	587	37923
61	596	37892
62	606	37896
63	616	37888
64	624	37795
65	635	37876
66	644	37811
67	653	37771
68	662	37715
69	670	37659
70	681	37715
71	690	37659
72	699	37631
73	709	37646
74	719	37650
75	729	37654
76	739	37659
77	747	37586
78	755	37503
79	765	37529
80	774	37455
81	783	37429
82	791	37348
83	801	37345
84	810	37350
85	820	37343
86	829	37297
87	839	37299
88	849	37327
89	858	37312
90	869	37335
91	879	37346
92	888	37331
93	894	37157
94	904	37175
95	914	37190
96	922	37133
97	931	37088
98	940	37039
99	948	36979
100	954	36862
101	965	36883
102	974	36875
103	985	36905
104	993	36860
105	1002	36834
106	1011	36811
107	1020	36790
108	1032	36847
109	1041	36845
110	1048	36743
111	1057	36709
112	1066	36672
113	1076	36690
114	1086	36711
115	1095	36688
116	1100	36521
117	1108	36481
118	1117	36437
119	1127	36443
120	1136	36419
121	1145	36400
122	1154	36384
123	1163	36379
124	1172	36359
125	1182	36361
126	1192	36352
127	1201	36341
128	1212	36371
129	1219	36315
130	1231	36366
131	1241	36385
132	1252	36405
133	1262	36426
134	1273	36446
135	1282	36451
136	1293	36478
137	1302	36445
138	1311	36431
139	1321	36435
140	1331	36436
141	1339	36392
142	1348	36362
143	1354	36266
144	1363	36254
145	1369	36160
146	1379	36163
147	1389	36154
148	1400	36195
149	1410	36208
150	1419	36173
151	1429	36198
152	1439	36203
153	1448	36186
154	1459	36213
155	1469	36217
156	1480	36231
157	1489	36216
158	1499	36216
159	1510	36249
160	1519	36232
161	1528	36221
162	1538	36210
163	1548	36213
164	1557	36206
165	1566	36171
166	1576	36183
167	1584	36153
168	1595	36166
169	1604	36149
170	1613	36128
171	1623	36136
172	1633	36141
173	1643	36141
174	1652	36111
175	1660	36088
176	1666	35992
177	1676	35996
178	1686	35994
179	1695	35971
180	1703	35951
181	1714	35961
182	1723	35947
183	1732	35921
184	1742	35939
185	1752	35941
186	1762	35938
187	1772	35946
188	1782	35933
189	1792	35941
190	1801	35929
191	1811	35921
192	1819	35892
193	1829	35886
194	1837	35863
195	1846	35843
196	1855	35816
197	1864	35798
198	1873	35784
199	1882	35762
200	1893	35787
201	1904	35800
202	1912	35766
203	1921	35763
204	1930	35745
205	1940	35742
206	1949	35725
207	1958	35699
208	1966	35665
209	1972	35595
210	1980	35568
211	1991	35582
212	2000	35560
213	2009	35545
214	2019	35549
215	2028	35537
216	2038	35534
217	2048	35536
218	2057	35530
219	2067	35525
220	2077	35524
221	2088	35535
222	2096	35502
223	2106	35504
224	2116	35514
225	2126	35509
226	2136	35517
227	2146	35508
228	2156	35514
229	2166	35514
230	2176	35508
231	2185	35494
232	2194	35481
233	2205	35487
234	2214	35477
235	2223	35456
236	2233	35460
237	2243	35455
238	2252	35446
239	2263	35455
240	2272	35446
241	2284	35470
242	2294	35470
243	2303	35466
244	2312	35448
245	2324	35468
246	2333	35462
247	2343	35458
248	2353	35459
249	2363	35453
250	2374	35461
251	2387	35516
252	2397	35505
253	2406	35485
254	2415	35471
255	2424	35453
256	2433	35436
257	2444	35455
258	2454	35448
259	2463	35437
260	2473	35431
261	2484	35443
262	2494	35447
263	2505	35450
264	2515	35460
265	2525	35458
266	2536	35466
267	2546	35458
268	2555	35449
269	2566	35454
270	2577	35471
271	2588	35471
272	2596	35446
273	2605	35434
274	2615	35421
275	2625	35422
276	2634	35404
277	2642	35385
278	2652	35381
279	2664	35405
280	2674	35395
281	2685	35407
282	2696	35416
283	2706	35413
284	2715	35402
285	2724	35385
286	2735	35385
287	2743	35366
288	2754	35369
289	2765	35377
290	2774	35365
291	2784	35358
292	2793	35341
293	2801	35313
294	2809	35289
295	2820	35289
296	2829	35283
297	2840	35290
298	2850	35280
299	2859	35263
300	2868	35247
301	2877	35239
302	2888	35240
303	2898	35239
304	2907	35217
305	2916	35207
306	2926	35204
307	2936	35203
308	2945	35186
309	2955	35183
310	2964	35166
311	2974	35156
312	2984	35154
313	2994	35147
314	3002	35122
315	3011	35103
316	3020	35094
317	3031	35095
318	3041	35091
319	3052	35102
320	3062	35096
321	3071	35080
322	3079	35054
323	3090	35060
324	3099	35046
325	3109	35042
326	3118	35028
327	3128	35023
328	3138	35014
329	3147	35001
330	3156	34988
331	3167	34994
332	3177	34985
333	3186	34974
334	3196	34973
335	3205	34956
336	3215	34950
337	3224	34933
338	3234	34932
339	3243	34919
340	3253	34909
341	3263	34905
342	3272	34890
343	3281	34872
344	3291	34866
345	3300	34853
346	3309	34841
347	3318	34820
348	3326	34802
349	3335	34783
350	3343	34762
351	3352	34742
352	3361	34725
353	3369	34707
354	3380	34706
355	3390	34705
356	3398	34684
357	3406	34659
358	3416	34647
359	3425	34633
360	3435	34626
361	3445	34624
362	3456	34632
363	3465	34618
364	3475	34610
365	3484	34593
366	3493	34586
367	3504	34582
368	3513	34573
369	3521	34549
370	3532	34549
371	3542	34544
372	3552	34539
373	3562	34534
374	3572	34537
375	3582	34532
376	3591	34517
377	3603	34527
378	3613	34523
379	3623	34517
380	3633	34510
381	3643	34505
382	3652	34496
383	3663	34501
384	3674	34499
385	3686	34514
386	3696	34512
387	3707	34510
388	3717	34511
389	3728	34512
390	3737	34493
391	3748	34501
392	3757	34488
393	3767	34476
394	3776	34471
395	3787	34466
396	3796	34452
397	3805	34445
398	3815	34436
399	3824	34419
400	3833	34405
401	3841	34384
402	3851	34376
403	3860	34365
404	3869	34347
405	3879	34339
406	3889	34340
407	3901	34346
408	3911	34345
409	3921	34339
410	3931	34330
411	3941	34327
412	3949	34299
413	3958	34291
414	3968	34281
415	3977	34270
416	3987	34265
417	3996	34250
418	4006	34242
419	4015	34230
420	4027	34237
421	4039	34248
422	4048	34237
423	4059	34239
424	4069	34231
425	4080	34234
426	4090	34225
427	4099	34215
428	4109	34204
429	4118	34195
430	4128	34187
431	4137	34170
432	4146	34155
433	4156	34151
434	4165	34139
435	4175	34135
436	4185	34126
437	4196	34126
438	4206	34122
439	4216	34117
440	4226	34105
441	4235	34093
442	4244	34082
443	4254	34075
444	4263	34062
445	4273	34055
446	4283	34044
447	4292	34032
448	4301	34018
449	4310	34006
450	4319	33993
451	4328	33975
452	4337	33965
453	4347	33958
454	4357	33950
455	4366	33937
456	4375	33922
457	4384	33907
458	4392	33884
459	4402	33881
460	4412	33876
461	4421	33859
462	4430	33844
463	4440	33841
464	4450	33830
465	4459	33822
466	4469	33813
467	4479	33803
468	4487	33788
469	4496	33773
470	4506	33764
471	4516	33757
472	4526	33751
473	4537	33750
474	4545	33734
475	4556	33730
476	4566	33725
477	4576	33721
478	4588	33729
479	4597	33715
480	4607	33708
481	4617	33705
482	4627	33692
483	4637	33688
484	4647	33680
485	4656	33671
486	4666	33659
487	4675	33650
488	4684	33632
489	4692	33615
490	4702	33605
